File;URL;Alt attuale;Alt suggerito;Peso;Formato;Convertire in WebP;Comprimere
la-dolce-vita-in-giardino.webp;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/la-dolce-vita-in-giardino.webp;;la dolce vita in giardino.webp | Max Digital Innovation Palermo;8 KB;webp;no;no
lentini.webp;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/lentini.webp;;lentini.webp | Max Digital Innovation Palermo;5 KB;webp;no;no
marte-club.webp;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/marte-club.webp;;marte club.webp | Max Digital Innovation Palermo;8 KB;webp;no;no
mp-trasfer.webp;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/mp-trasfer.webp;;mp trasfer.webp | Max Digital Innovation Palermo;5 KB;webp;no;no
maxdigitalinnovation.it_-1.gif;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/maxdigitalinnovation.it_-1.gif;"Animazione o logo Max Digital Innovation, azienda leader nell'innovazione digitale e servizi IT.";"Animazione o logo Max Digital Innovation, azienda leader nell'innovazione digitale e servizi IT.";51945 KB;gif;no;sì
bg-e1786541817316.png;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/bg-e1786541817316.png;;Home | Max Digital Innovation Palermo;114 KB;png;sì (WebP);no
Max-Doigital-Logo.png;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/Max-Doigital-Logo.png;;Max Doigital Logo | Max Digital Innovation Palermo;11 KB;png;sì (WebP);no
cropped-Max-Doigital-Logo.png;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/cropped-Max-Doigital-Logo.png;;cropped Max Doigital Logo.png | Max Digital Innovation Palermo;10 KB;png;sì (WebP);no
testlogomax.png;https://maxdigitalinnovation.it/wp-content/uploads/2025/07/testlogomax.png;;Come creare video virali: 5 strategie che funzionano nel 2025 | Max Digital Innovation Palermo;47 KB;png;sì (WebP);no
banner_digital_service.webp;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/banner_digital_service.webp;;banner digital service | Max Digital Innovation Palermo;12 KB;webp;no;no
126882.jpg;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/126882.jpg;;Home | Max Digital Innovation Palermo;855 KB;jpg;sì (WebP);sì
studio.webp;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/studio.webp;;studio | Max Digital Innovation Palermo;336 KB;webp;no;sì
studio2.webp;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/studio2.webp;;studio2 | Max Digital Innovation Palermo;52 KB;webp;no;no
0060605.webp;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/0060605.webp;"Un'immagine astratta o un logo, rappresentante l'innovazione digitale di Max Digital Innovation.";"Un'immagine astratta o un logo, rappresentante l'innovazione digitale di Max Digital Innovation.";4 KB;webp;no;no
AGIM_bianco_logo_nuovo_sito-scaled-1.webp;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/AGIM_bianco_logo_nuovo_sito-scaled-1.webp;;AGIM bianco logo nuovo sito scaled | Max Digital Innovation Palermo;23 KB;webp;no;no
facella-1.webp;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/facella-1.webp;"Logo o immagine di Facella, cliente o partner di Max Digital Innovation, nel settore dell'innovazione.";"Logo o immagine di Facella, cliente o partner di Max Digital Innovation, nel settore dell'innovazione.";5 KB;webp;no;no
Harmont__and__Blaine-logo.png;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/Harmont__and__Blaine-logo.png;"Logo di Harmont & Blaine, noto brand di moda, cliente di Max Digital Innovation.";"Logo di Harmont & Blaine, noto brand di moda, cliente di Max Digital Innovation.";14 KB;png;sì (WebP);no
hidrowatwer.webp;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/hidrowatwer.webp;"Logo o immagine di Hidrowatwer, cliente o partner di Max Digital Innovation, settore idrico.";"Logo o immagine di Hidrowatwer, cliente o partner di Max Digital Innovation, settore idrico.";29 KB;webp;no;no
lentini-1.webp;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/lentini-1.webp;"Logo o immagine di Lentini, cliente o partner di Max Digital Innovation, per soluzioni digitali.";"Logo o immagine di Lentini, cliente o partner di Max Digital Innovation, per soluzioni digitali.";5 KB;webp;no;no
logo.png;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/logo.png;"Logo Max Digital Innovation, azienda di innovazione digitale e servizi web.";"Logo Max Digital Innovation, azienda di innovazione digitale e servizi web.";23 KB;png;sì (WebP);no
logo_2_small.png;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/logo_2_small.png;"Logo piccolo Max Digital Innovation, specializzata in servizi di innovazione digitale.";"Logo piccolo Max Digital Innovation, specializzata in servizi di innovazione digitale.";5 KB;png;sì (WebP);no
logo_neg.png;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/logo_neg.png;"Logo negativo Max Digital Innovation, per soluzioni digitali e web agency.";"Logo negativo Max Digital Innovation, per soluzioni digitali e web agency.";46 KB;png;sì (WebP);no
logo-200.webp;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/logo-200.webp;"Logo Max Digital Innovation, web agency e consulenza per innovazione digitale.";"Logo Max Digital Innovation, web agency e consulenza per innovazione digitale.";6 KB;webp;no;no
logo-cristal-flint.png;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/logo-cristal-flint.png;"Logo Max Digital Innovation trasparente, per servizi di innovazione e sviluppo web.";"Logo Max Digital Innovation trasparente, per servizi di innovazione e sviluppo web.";6 KB;png;sì (WebP);no
LOGO-GRUPPO-MAYMONE.png;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/LOGO-GRUPPO-MAYMONE.png;"Logo del Gruppo Maymone, partner di Max Digital Innovation per soluzioni digitali innovative.";"Logo del Gruppo Maymone, partner di Max Digital Innovation per soluzioni digitali innovative.";13 KB;png;sì (WebP);no
logo-png-footer-tobestudent.png;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/logo-png-footer-tobestudent.png;"Logo ToBeStudent, partner di Max Digital Innovation, focalizzato su servizi per studenti e formazione.";"Logo ToBeStudent, partner di Max Digital Innovation, focalizzato su servizi per studenti e formazione.";3 KB;png;sì (WebP);no
prefabbricati-eco-house-monreale-logo-1920w.webp;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/prefabbricati-eco-house-monreale-logo-1920w.webp;"Logo Prefabbricati Eco House Monreale, partner di Max Digital Innovation per soluzioni abitative eco-sostenibili.";"Logo Prefabbricati Eco House Monreale, partner di Max Digital Innovation per soluzioni abitative eco-sostenibili.";5 KB;webp;no;no
Foto-6-2.png;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/Foto-6-2.png;"Analisi dati e strategie digitali, focus sull'innovazione per Max Digital Innovation.";"Analisi dati e strategie digitali, focus sull'innovazione per Max Digital Innovation.";313 KB;png;sì (WebP);sì
Foto-7-2.png;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/Foto-7-2.png;"Consulenza digitale personalizzata, esperti Max Digital Innovation guidano il tuo business.";"Consulenza digitale personalizzata, esperti Max Digital Innovation guidano il tuo business.";260 KB;png;sì (WebP);sì
Foto-8-2.png;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/Foto-8-2.png;Sviluppo software e soluzioni tecnologiche innovative di Max Digital Innovation.;Sviluppo software e soluzioni tecnologiche innovative di Max Digital Innovation.;349 KB;png;sì (WebP);sì
Foto-9-2.png;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/Foto-9-2.png;"Team di Max Digital Innovation al lavoro, strategia digitale e innovazione.";"Team di Max Digital Innovation al lavoro, strategia digitale e innovazione.";241 KB;png;sì (WebP);sì
Foto-10-1.png;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/Foto-10-1.png;Professionisti Max Digital Innovation discutono strategie di marketing digitale e crescita aziendale.;Professionisti Max Digital Innovation discutono strategie di marketing digitale e crescita aziendale.;337 KB;png;sì (WebP);sì
immobiliare.png;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/immobiliare.png;"Icona o logo che rappresenta il settore immobiliare, partner di Max Digital Innovation per il digitale.";"Icona o logo che rappresenta il settore immobiliare, partner di Max Digital Innovation per il digitale.";512 KB;png;sì (WebP);sì
Foto-1-3.png;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/Foto-1-3.png;"Team Max Digital Innovation al lavoro, brainstorming e collaborazione per soluzioni innovative.";"Team Max Digital Innovation al lavoro, brainstorming e collaborazione per soluzioni innovative.";111 KB;png;sì (WebP);no
Foto-2-2.png;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/Foto-2-2.png;Professionisti Max Digital Innovation analizzano dati e strategie digitali su un laptop.;Professionisti Max Digital Innovation analizzano dati e strategie digitali su un laptop.;264 KB;png;sì (WebP);sì
Foto-3-2.png;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/Foto-3-2.png;"Grafico finanziario in crescita, simbolo del successo e della scalabilità offerti da Max Digital Innovation.";"Grafico finanziario in crescita, simbolo del successo e della scalabilità offerti da Max Digital Innovation.";236 KB;png;sì (WebP);sì
Foto-4-2.png;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/Foto-4-2.png;Collaborazione e discussione tra membri del team Max Digital Innovation per progetti digitali.;Collaborazione e discussione tra membri del team Max Digital Innovation per progetti digitali.;319 KB;png;sì (WebP);sì
Foto-5-2.png;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/Foto-5-2.png;"Professionista Max Digital Innovation che lavora su un tablet, focalizzato sull'innovazione digitale.";"Professionista Max Digital Innovation che lavora su un tablet, focalizzato sull'innovazione digitale.";150 KB;png;sì (WebP);no
Foto-2-3.png;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/Foto-2-3.png;"Team Max Digital Innovation in riunione strategica, collaborazione per l'innovazione digitale.";"Team Max Digital Innovation in riunione strategica, collaborazione per l'innovazione digitale.";463 KB;png;sì (WebP);sì
Foto-11.png;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/Foto-11.png;"Professionisti Max Digital Innovation al lavoro, innovazione digitale e soluzioni IT avanzate.";"Professionisti Max Digital Innovation al lavoro, innovazione digitale e soluzioni IT avanzate.";169 KB;png;sì (WebP);no
GULINO-2024-03-2.png;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/GULINO-2024-03-2.png;;GULINO 2024 03 2 | Max Digital Innovation Palermo;38 KB;png;sì (WebP);no
Logo_max-digital.png;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/Logo_max-digital.png;;Logo max digital | Max Digital Innovation Palermo;10 KB;png;sì (WebP);no
caos-tsudio-5.jpeg;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/caos-tsudio-5.jpeg;;caso studio 5 | Max Digital Innovation Palermo;233 KB;jpeg;sì (WebP);sì
caso-studio-2.jpeg;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/caso-studio-2.jpeg;;caso studio 2 | Max Digital Innovation Palermo;99 KB;jpeg;sì (WebP);no
caso-studio-3.jpeg;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/caso-studio-3.jpeg;;caso studio 3 | Max Digital Innovation Palermo;217 KB;jpeg;sì (WebP);sì
caso-studio-4.jpeg;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/caso-studio-4.jpeg;;caso studio 4 | Max Digital Innovation Palermo;155 KB;jpeg;sì (WebP);no
caso-studio-6.jpeg;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/caso-studio-6.jpeg;;caso studio 6 | Max Digital Innovation Palermo;116 KB;jpeg;sì (WebP);no
caso-studio.jpeg;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/caso-studio.jpeg;;caso studio | Max Digital Innovation Palermo;173 KB;jpeg;sì (WebP);no
secondo-caso-studio-2.png;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/secondo-caso-studio-2.png;;secondo caso studio 2 | Max Digital Innovation Palermo;71 KB;png;sì (WebP);no
secondo-caso-studio-3.png;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/secondo-caso-studio-3.png;;secondo caso studio 3 | Max Digital Innovation Palermo;559 KB;png;sì (WebP);sì
secondo-caso-studio-4.png;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/secondo-caso-studio-4.png;;secondo caso studio 4 | Max Digital Innovation Palermo;74 KB;png;sì (WebP);no
secondo-caso-studio-5.png;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/secondo-caso-studio-5.png;;secondo caso studio 5 | Max Digital Innovation Palermo;471 KB;png;sì (WebP);sì
secondo-caso-studio-6.png;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/secondo-caso-studio-6.png;;secondo caso studio 6 | Max Digital Innovation Palermo;96 KB;png;sì (WebP);no
secondo-caso-studio-.png;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/secondo-caso-studio-.png;;secondo caso studio | Max Digital Innovation Palermo;694 KB;png;sì (WebP);sì
terzo-caso-studio-2.jpeg;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/terzo-caso-studio-2.jpeg;;terzo caso studio 2 | Max Digital Innovation Palermo;110 KB;jpeg;sì (WebP);no
terzo-caso-studio-3.jpeg;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/terzo-caso-studio-3.jpeg;;terzo caso studio 3 | Max Digital Innovation Palermo;199 KB;jpeg;sì (WebP);no
terzo-caso-studio-4.jpeg;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/terzo-caso-studio-4.jpeg;;terzo caso studio 4 | Max Digital Innovation Palermo;101 KB;jpeg;sì (WebP);no
terzo-caso-studio-5.jpeg;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/terzo-caso-studio-5.jpeg;;terzo caso studio 5 | Max Digital Innovation Palermo;215 KB;jpeg;sì (WebP);sì
terzo-caso-studio-6.jpeg;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/terzo-caso-studio-6.jpeg;;terzo caso studio 6 | Max Digital Innovation Palermo;163 KB;jpeg;sì (WebP);no
terzo-caso-studio.jpeg;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/terzo-caso-studio.jpeg;;terzo caso studio | Max Digital Innovation Palermo;143 KB;jpeg;sì (WebP);no
Il-laboratorio-creativo-di-una-web-agency.jpg;https://maxdigitalinnovation.it/wp-content/uploads/2026/09/Il-laboratorio-creativo-di-una-web-agency.jpg;"Il laboratorio creativo di una web agency: scrivania con computer, tablet e appunti. Max Digital Innovation.";"Il laboratorio creativo di una web agency: scrivania con computer, tablet e appunti. Max Digital Innovation.";313 KB;jpg;sì (WebP);sì
SEO-per-contenuti-video.jpg;https://maxdigitalinnovation.it/wp-content/uploads/2025/07/SEO-per-contenuti-video.jpg;;SEO per contenuti video: guida pratica per aumentare le visualizzazioni | Max Digital Innovation Palermo;267 KB;jpg;sì (WebP);sì
bg.png;https://maxdigitalinnovation.it/wp-content/uploads/2026/09/bg.png;;Home | Max Digital Innovation Palermo;296 KB;png;sì (WebP);sì
maxdigitalinnovation-optimized.webp;https://maxdigitalinnovation.it/wp-content/uploads/2026/09/maxdigitalinnovation-optimized.webp;;Home | Max Digital Innovation Palermo;2723 KB;webp;no;sì
Come-ottimizzare-i-tuoi-video-per-i-motori-di-ricerca.jpg;https://maxdigitalinnovation.it/wp-content/uploads/2025/07/Come-ottimizzare-i-tuoi-video-per-i-motori-di-ricerca.jpg;;Come ottimizzare i tuoi video per i motori di ricerca nel 2025 | Max Digital Innovation Palermo;249 KB;jpg;sì (WebP);sì
Guida-passo-passo-per-realizzare-contenuti-che-spopolano-sui-social.jpg;https://maxdigitalinnovation.it/wp-content/uploads/2025/07/Guida-passo-passo-per-realizzare-contenuti-che-spopolano-sui-social.jpg;;Guida passo-passo per realizzare contenuti che spopolano sui social | Max Digital Innovation Palermo;295 KB;jpg;sì (WebP);sì
Come-creare-video-virali.jpg;https://maxdigitalinnovation.it/wp-content/uploads/2025/07/Come-creare-video-virali.jpg;;Come creare video virali: 5 strategie che funzionano nel 2025 | Max Digital Innovation Palermo;332 KB;jpg;sì (WebP);sì
Come-Comunicare-in-Modo-Efficace-per-Studi-di-Fisioterapia-a-Palermo.jpg;https://maxdigitalinnovation.it/wp-content/uploads/2026/09/Come-Comunicare-in-Modo-Efficace-per-Studi-di-Fisioterapia-a-Palermo.jpg;Fisioterapista che comunica con un paziente durante una seduta;Fisioterapista che comunica con un paziente durante una seduta;242 KB;jpg;sì (WebP);sì
Come-Promuovere-il-Tuo-Salone-di-Bellezza-a-Palermo.jpg;https://maxdigitalinnovation.it/wp-content/uploads/2026/09/Come-Promuovere-il-Tuo-Salone-di-Bellezza-a-Palermo.jpg;Parrucchiere che lavora sui capelli di una cliente in un salone di bellezza;Parrucchiere che lavora sui capelli di una cliente in un salone di bellezza;257 KB;jpg;sì (WebP);sì
Perche-ogni-attivita-di-Palermo-dovrebbe-pubblicare-video.jpg;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/Perche-ogni-attivita-di-Palermo-dovrebbe-pubblicare-video.jpg;;Perché ogni attività di Palermo dovrebbe pubblicare video | Max Digital Innovation Palermo;446 KB;jpg;sì (WebP);sì
Come-trasformare-un-semplice-video-in-un-contenuto-virale-a-Palermo.jpg;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/Come-trasformare-un-semplice-video-in-un-contenuto-virale-a-Palermo.jpg;;Come trasformare un semplice video in un contenuto virale a Palermo | Max Digital Innovation Palermo;278 KB;jpg;sì (WebP);sì
Realizzazione-video-virali-Trapani.jpg;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/Realizzazione-video-virali-Trapani.jpg;;Realizzazione video virali Trapani | Max Digital Innovation Palermo;279 KB;jpg;sì (WebP);sì
Produzione-video-virali-per-la-tua-attivita-Palermo.jpg;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/Produzione-video-virali-per-la-tua-attivita-Palermo.jpg;;Produzione video virali per la tua attività Palermo | Max Digital Innovation Palermo;247 KB;jpg;sì (WebP);sì
Come-creare-video-virali.jpg;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/Come-creare-video-virali.jpg;;Realizzazione video virali Palermo | Max Digital Innovation Palermo;332 KB;jpg;sì (WebP);sì
Realizzazione-video-virali-Palermo.jpg;https://maxdigitalinnovation.it/wp-content/uploads/2026/08/Realizzazione-video-virali-Palermo.jpg;;Realizzazione video virali Palermo | Max Digital Innovation Palermo;308 KB;jpg;sì (WebP);sì
Come-far-crescere-il-tuo-profilo-TikTok-in-6-giorni.jpg;https://maxdigitalinnovation.it/wp-content/uploads/2026/07/Come-far-crescere-il-tuo-profilo-TikTok-in-6-giorni.jpg;;Come far crescere il tuo profilo TikTok in 6 giorni | Max Digital Innovation Palermo;291 KB;jpg;sì (WebP);sì
Come-far-crescere-il-tuo-profilo-in-6-giorni.jpg;https://maxdigitalinnovation.it/wp-content/uploads/2026/07/Come-far-crescere-il-tuo-profilo-in-6-giorni.jpg;;Come far crescere il tuo profilo in 6 giorni | Max Digital Innovation Palermo;281 KB;jpg;sì (WebP);sì
Quanto-dura-un-video-TikTok-ideale.jpg;https://maxdigitalinnovation.it/wp-content/uploads/2026/07/Quanto-dura-un-video-TikTok-ideale.jpg;;Quanto dura un video TikTok ideale | Max Digital Innovation Palermo;227 KB;jpg;sì (WebP);sì
Instagram-per-aziende.jpg;https://maxdigitalinnovation.it/wp-content/uploads/2026/07/Instagram-per-aziende.jpg;;Instagram per aziende: errori da evitare | Max Digital Innovation Palermo;259 KB;jpg;sì (WebP);sì
